Category	SubCategory	Not_a_Category	Title	ID	Data type	Description
Event	Generic	1	attendance	P1110	Quantity	number of people (spectators, ticket holders) at an event or exhibition
Event	Elections	0	votes received	P1111	Quantity	qualifier stating the number of votes for a candidate in an election
Event	Generic	1	winner	P1346	Item	winner: winner of an event. Do not use for wars, and battles
Event	Generic	1	number of missing	P1446	Quantity	"number of people missing after an event - qualify with ""point in time (P585)"""
Event	Generic	1	has immediate cause	P1478	Item	nearest, proximate thing that directly resulted in the subject as outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'.
Event	Generic	1	has contributing factor	P1479	Item	thing that significantly influenced, but did not directly cause, this outcome or effect. Used in conjunction with 'has cause' and 'has immediate cause'. See 'Help:Modeling causes'.
Event	Generic	1	end cause	P1534	Item	end cause: qualifier to use together with the end date qualifier (P582) to specify the cause
Event	Generic	1	used by	P1535	Item	user: item or concept that makes use of the subject (use sub-properties when appropriate)
Event	Generic	1	immediate cause of	P1536	Item	immediate cause of this effect
Event	Generic	1	contributing factor of	P1537	Item	thing that is significantly influenced by this cause, but does not directly result from it. See 'Help:Modeling causes' for examples and discussion.
Event	Elections	0	total valid votes	P1697	Quantity	vote count for the elections (excluding invalid votes)
Event	Elections	0	electorate	P1831	Quantity	voter fileæandæelectoral body: set of persons qualified to vote during elections
Event	Elections	0	eligible voters	P1867	Quantity	number of eligible voters for a particular election
Event	Generic	1	frequency of event	P2257	Quantity	"standard nominal interval between scheduled or regularly recurring events. Use with unit of time, sample: year (Q577). To enter numeric values manually, add ""+-0"" after the number"
Event	Elections	0	elector	P2319	Item	elector: people or other entities which are qualified to participate in the subect election
Event	Elections	0	office contested	P541	Item	title of office which election will determine the next holder of
Event	Generic	1	organizer	P664	Item	organizer: person or institution organizing an event
Event	Generic	1	participant	P710	Item	"person, group of people or organization that actively takes/took part in the event. Preferably qualify with ""has role"" (P2868). Use P1923 for the team"
Event	Elections	0	candidate	P726	Item	candidate: person or party that is an option for an office in an election
Event	Generic	1	public holiday	P832	Item	public holiday: official public holiday that occurs in this place in its honor, usually a non-working day
Event	Elections	0	successful candidate	P991	Item	person(s) elected after the election
Organization	Generic Characteristics	1	product or material produced	P1056	Item	product: material or product produced by a business, industry, facility, or process
Organization	Organizational lifecycle	1	founded by	P112	Item	founder: founder or co-founder of this organization, religion or place
Organization	Corporate Data	1	employees	P1128	Quantity	total number of employees of a company at a given point in time
Organization	Airline	0	airline hub	P113	Item	airline hub: airport that serves as a hub for an airline
Organization	Airline	0	airline alliance	P114	Item	airline alliance: alliance the airline belongs to
Organization	Sports Club	0	home venue	P115	Item	stadium: home stadium or venue of a sports team or applicable performing arts organization
Organization	Sports Club	0	league	P118	Item	sports league: league in which team plays or has played in
Organization	Airline	0	item operated	P121	Item	equipment, installation or service operated by the subject
Organization	Corporate Data	1	represents organisation	P1268	Item	organization: organization that an entity represents
Organization	Corporate Data	1	Legal Entity ID	P1278	External identifier	Legal Entity Identifier: identifier for a legally distinct entity per ISO 17442
Organization	Corporate Data	1	officeholder	P1308	Item	person who holds an office
Organization	Specific organizations	1	office held by head of government	P1313	Item	political office that is fulfilled by the head of the government of this item
Organization	Listed Companies	0	OpenCorporates ID	P1320	External identifier	identifier for a corporation, in the OpenCorporates database
Organization	Specific organizations	0	number of seats	P1342	Quantity	number of seats/members in an assembly (legislative house or similar)
Organization	Specific organizations	0	political alignment	P1387	Item	political alignment: political position within the political spectrum
Organization	Specific organizations	0	licensed to broadcast to	P1408	Item	city of license: place that a radio/TV station is licensed/required to broadcast to
Organization	Specific organizations	0	number of representatives in an organization/legislature	P1410	Quantity	elected person: number of seats a political party, faction, or group has in a given legislature
Organization	Listed Companies	0	legal form	P1454	Item	type of business entity: legal form of an organization
Organization	Generic Characteristics	1	headquarters location	P159	Item	headquarters,æsiège social,æseatæandæepiscopal see: specific location where an organization's HQ is or has been situated
Organization	Corporate Data	1	chief executive officer	P169	Item	chief executive officer: highest-ranking corporate officer appointed as the CEO within an organization
Organization	Organizational lifecycle	1	image	P18	Commons media file	"illustration: image of relevant illustration of the subject; if available, use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image); only images which exist on Wikimedia Commons are acceptable"
Organization	Corporate Data	1	business division	P199	Item	division: divisions of this organization
Organization	Airline	0	IATA airline designator	P229	String	IATA airline code: two-character identifier for an airline
Organization	Airline	0	ICAO airline designator	P230	String	ICAO airline code: three letter identifier for an airline (for airports, see P239)
Organization	Listed Companies	0	ticker symbol	P249	String	ticker symbol: identifier for a publicly traded share of a particular stock on a particular stock market
Organization	Sports Club	0	head coach	P286	Item	coach: on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person
Organization	Corporate Data	1	subsidiary	P355	Item	subsidiary company: subsidiary of a company or organization, opposite of parent company (P749)
Organization	Listed Companies	0	stock exchange	P414	Item	exchange: exchange on which this company is traded
Organization	Airline	0	callsign of airline	P432	External identifier	airline callsign: identifier used in radio transmissions to refer to the subject airline
Organization	Generic Characteristics	1	industry	P452	Item	industryæandæeconomic branch: industry of company or organization
Organization	Organizational lifecycle	1	foundational text	P457	Item	text through which an institution has been created
Organization	Corporate Data	1	chairperson	P488	Item	president: presiding member of an organization, group or body
Organization	Sports Club	0	general manager	P505	Item	general manager: general manager of a sports team. If he is also an on-field manager use P286 instead
Organization	Organizational lifecycle	1	inception	P571	Point in time	inception: date or point in time when the organization/object was founded/created
